,date,state,positive,negative,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,death,hospitalized,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,positiveincrease,negativeincrease,total,totaltestresults,totaltestresultsincrease,posneg,deathincrease,hospitalizedincrease,commercialscore,negativeregularscore,negativescore,positivescore,score
28,2020-06-23,0,22898,241066.0,664.0,2915.0,151.0,0.0,88.0,0.0,17242.0,989,2915.0,263811.0,0.0,0.0,22745.0,611,10104,263964,263964,10715,263964,11,34,0,0,0,0,0
29,2020-06-23,0,743,73180.0,15.0,91.0,0.0,0.0,0.0,0.0,566.0,21,91.0,0.0,0.0,0.0,743.0,3,2615,73923,73923,2618,73923,0,1,0,0,0,0,0
30,2020-06-23,0,54453,719375.0,915.0,0.0,0.0,0.0,0.0,0.0,36921.0,1251,0.0,0.0,0.0,0.0,54453.0,848,15635,773828,773828,16483,773828,28,0,0,0,0,0,0
31,2020-06-23,0,3320,94233.0,28.0,218.0,0.0,0.0,0.0,0.0,3008.0,84,218.0,158524.0,0.0,0.0,3320.0,7,93,97553,97553,100,97553,1,0,0,0,0,0,0
32,2020-06-23,0,17957,140685.0,135.0,1234.0,0.0,0.0,0.0,0.0,11980.0,249,1234.0,0.0,0.0,0.0,17957.0,147,1987,158642,158642,2134,158642,5,22,0,0,0,0,0
33,2020-06-23,0,5558,103318.0,54.0,558.0,0.0,160.0,0.0,0.0,4290.0,339,558.0,0.0,0.0,0.0,5558.0,14,0,108876,108876,14,108876,0,5,0,0,0,0,0
34,2020-06-23,0,169734,1113717.0,1092.0,19512.0,307.0,0.0,216.0,0.0,29517.0,12949,19512.0,0.0,0.0,0.0,169734.0,319,15733,1283451,1283451,16052,1283451,54,111,0,0,0,0,0
35,2020-06-23,0,10694,287382.0,139.0,1754.0,0.0,0.0,0.0,0.0,4742.0,469,1754.0,0.0,0.0,0.0,10694.0,129,4516,298076,298076,4645,298076,0,8,0,0,0,0,0
36,2020-06-23,0,13997,234529.0,389.0,0.0,100.0,0.0,50.0,0.0,658.0,492,0.0,285790.0,0.0,0.0,13997.0,462,3999,248526,248526,4461,248526,0,0,0,0,0,0,0
37,2020-06-23,0,389085,3111723.0,1104.0,89995.0,330.0,0.0,228.0,0.0,69710.0,24766,89995.0,0.0,0.0,0.0,389085.0,597,48112,3500808,3500808,48709,3500808,27,0,0,0,0,0,0
38,2020-06-23,0,46127,624310.0,570.0,7379.0,205.0,1876.0,126.0,0.0,0.0,2735,7379.0,0.0,0.0,0.0,42767.0,590,10246,670437,670437,10836,670437,31,87,0,0,0,0,0
39,2020-06-23,0,11028,284029.0,265.0,1288.0,111.0,0.0,0.0,0.0,7888.0,371,1288.0,296988.0,12295.0,284029.0,11028.0,295,12104,295057,295057,12399,295057,2,20,0,0,0,0,0
40,2020-06-23,0,7274,203438.0,184.0,983.0,58.0,0.0,28.0,0.0,2604.0,192,983.0,0.0,0.0,0.0,7018.0,191,3893,210712,210712,4084,210712,0,14,0,0,0,0,0
41,2020-06-23,0,82696,596407.0,738.0,0.0,0.0,0.0,151.0,0.0,64502.0,6464,0.0,0.0,0.0,0.0,80347.0,510,10745,679103,679103,11255,679103,38,0,0,0,0,0,0
42,2020-06-23,0,6685,0.0,77.0,0.0,9.0,0.0,2.0,0.0,0.0,149,0.0,61515.0,0.0,0.0,1550.0,121,0,6685,6685,121,6685,0,0,0,0,0,0,0
43,2020-06-23,0,16533,205630.0,105.0,1958.0,19.0,0.0,17.0,0.0,1562.0,906,1958.0,0.0,0.0,0.0,16533.0,74,3421,222163,222163,3495,222163,3,8,0,0,0,0,0
44,2020-06-23,0,26613,282638.0,824.0,2377.0,0.0,0.0,0.0,0.0,12317.0,673,2377.0,317438.0,34800.0,282638.0,26572.0,912,4459,309251,309251,5371,309251,14,83,0,0,0,0,0
45,2020-06-23,0,6353,67633.0,85.0,624.0,0.0,0.0,0.0,0.0,5497.0,83,624.0,0.0,0.0,0.0,6353.0,27,630,73986,73986,657,73986,2,8,0,0,0,0,0
